Time		    CASE	den	een	dex	eex	dut_led	exp_led
[5000]		    PASS:	0	0	0	0	0000	0000
[15000]		    PASS:	0	0	0	0	0000	0000
[25000]		    PASS:	0	0	0	0	0000	0000
[35000]		    PASS:	0	0	0	0	0000	0000
[45000]		    PASS:	0	0	0	0	0000	0000
[55000]		    PASS:	0	0	0	0	0000	0000
[65000]		    PASS:	0	0	0	0	0000	0000
[75000]		    PASS:	0	0	0	0	0000	0000
[85000]		    PASS:	0	0	0	0	0000	0000
[95000]		    PASS:	0	0	0	0	0000	0000
[105000]		PASS:	0	0	0	0	0000	0000
[115000]		PASS:	0	0	0	0	0000	0000
[125000]		PASS:	0	0	0	0	0000	0000
[135000]		PASS:	0	0	0	0	0000	0000
[145000]		PASS:	0	0	0	0	0000	0000
[155000]		PASS:	0	0	0	0	0000	0000
[165000]		PASS:	0	0	0	0	0000	0000
[175000]		PASS:	0	0	0	0	0000	0000
[185000]		PASS:	1	1	0	0	0000	0000
[195000]		PASS:	0	0	0	0	0001	0001
[205000]		PASS:	0	0	0	0	0001	0001
[215000]		PASS:	0	0	0	0	0001	0001
[225000]		PASS:	0	0	0	0	0001	0001
[235000]		PASS:	0	0	0	0	0001	0001
[245000]		PASS:	0	0	0	0	0001	0001
[255000]		PASS:	0	0	0	0	0001	0001
[265000]		PASS:	0	0	0	0	0001	0001
[275000]		PASS:	0	0	0	0	0001	0001
[285000]		PASS:	0	0	0	0	0001	0001
[295000]		PASS:	0	0	0	0	0001	0001
[305000]		PASS:	0	0	0	0	0001	0001
[315000]		PASS:	0	0	0	0	0001	0001
[325000]		PASS:	0	0	0	0	0001	0001
[335000]		PASS:	0	0	0	0	0001	0001
[345000]		PASS:	0	0	0	0	0001	0001
[355000]		PASS:	1	1	0	0	0001	0001
[365000]		PASS:	0	0	0	0	0010	0010
[375000]		PASS:	0	0	0	0	0010	0010
[385000]		PASS:	0	0	0	0	0010	0010
[395000]		PASS:	0	0	0	0	0010	0010
[405000]		PASS:	0	0	0	0	0010	0010
[415000]		PASS:	0	0	0	0	0010	0010
[425000]		PASS:	0	0	0	0	0010	0010
[435000]		PASS:	0	0	0	0	0010	0010
[445000]		PASS:	0	0	0	0	0010	0010
[455000]		PASS:	0	0	0	0	0010	0010
[465000]		PASS:	0	0	0	0	0010	0010
[475000]		PASS:	0	0	0	0	0010	0010
[485000]		PASS:	0	0	0	0	0010	0010
[495000]		PASS:	0	0	0	0	0010	0010
[505000]		PASS:	0	0	0	0	0010	0010
[515000]		PASS:	0	0	0	0	0010	0010
[525000]		PASS:	0	0	0	0	0010	0010
[535000]		PASS:	0	0	0	0	0010	0010
[545000]		PASS:	1	1	0	0	0010	0010
[555000]		PASS:	0	0	0	0	0011	0011
[565000]		PASS:	0	0	0	0	0011	0011
[575000]		PASS:	0	0	0	0	0011	0011
[585000]		PASS:	0	0	0	0	0011	0011
[595000]		PASS:	0	0	0	0	0011	0011
[605000]		PASS:	0	0	0	0	0011	0011
[615000]		PASS:	0	0	0	0	0011	0011
[625000]		PASS:	0	0	0	0	0011	0011
[635000]		PASS:	0	0	0	0	0011	0011
[645000]		PASS:	0	0	0	0	0011	0011
[655000]		PASS:	0	0	0	0	0011	0011
[665000]		PASS:	0	0	0	0	0011	0011
[675000]		PASS:	0	0	0	0	0011	0011
[685000]		PASS:	0	0	0	0	0011	0011
[695000]		PASS:	0	0	0	0	0011	0011
[705000]		PASS:	0	0	0	0	0011	0011
[715000]		PASS:	1	1	0	0	0011	0011
[725000]		PASS:	0	0	0	0	0100	0100
[735000]		PASS:	0	0	0	0	0100	0100
[745000]		PASS:	0	0	0	0	0100	0100
[755000]		PASS:	0	0	0	0	0100	0100
[765000]		PASS:	0	0	0	0	0100	0100
[775000]		PASS:	0	0	0	0	0100	0100
[785000]		PASS:	0	0	0	0	0100	0100
[795000]		PASS:	0	0	0	0	0100	0100
[805000]		PASS:	0	0	0	0	0100	0100
[815000]		PASS:	0	0	0	0	0100	0100
[825000]		PASS:	0	0	0	0	0100	0100
[835000]		PASS:	0	0	0	0	0100	0100
[845000]		PASS:	0	0	0	0	0100	0100
[855000]		PASS:	0	0	0	0	0100	0100
[865000]		PASS:	1	1	0	0	0100	0100
[875000]		PASS:	0	0	0	0	0101	0101
[885000]		PASS:	0	0	0	0	0101	0101
[895000]		PASS:	0	0	0	0	0101	0101
[905000]		PASS:	0	0	0	0	0101	0101
[915000]		PASS:	0	0	0	0	0101	0101
[925000]		PASS:	0	0	0	0	0101	0101
[935000]		PASS:	0	0	0	0	0101	0101
[945000]		PASS:	0	0	0	0	0101	0101
[955000]		PASS:	0	0	0	0	0101	0101
[965000]		PASS:	0	0	0	0	0101	0101
[975000]		PASS:	0	0	0	0	0101	0101
[985000]		PASS:	0	0	0	0	0101	0101
[995000]		PASS:	0	0	0	0	0101	0101
[1005000]		PASS:	0	0	0	0	0101	0101
[1015000]		PASS:	0	0	0	0	0101	0101
[1025000]		PASS:	0	0	0	0	0101	0101
[1035000]		PASS:	0	0	0	0	0101	0101
[1045000]		PASS:	1	1	0	0	0101	0101
[1055000]		PASS:	0	0	0	0	0110	0110
[1065000]		PASS:	0	0	0	0	0110	0110
[1075000]		PASS:	0	0	0	0	0110	0110
[1085000]		PASS:	0	0	0	0	0110	0110
[1095000]		PASS:	0	0	0	0	0110	0110
[1105000]		PASS:	0	0	0	0	0110	0110
[1115000]		PASS:	0	0	0	0	0110	0110
[1125000]		PASS:	0	0	0	0	0110	0110
[1135000]		PASS:	0	0	0	0	0110	0110
[1145000]		PASS:	0	0	0	0	0110	0110
[1155000]		PASS:	0	0	0	0	0110	0110
[1165000]		PASS:	0	0	0	0	0110	0110
[1175000]		PASS:	0	0	0	0	0110	0110
[1185000]		PASS:	0	0	0	0	0110	0110
[1195000]		PASS:	0	0	0	0	0110	0110
[1205000]		PASS:	1	1	0	0	0110	0110
[1215000]		PASS:	0	0	0	0	0111	0111
[1225000]		PASS:	0	0	0	0	0111	0111
[1235000]		PASS:	0	0	0	0	0111	0111
[1245000]		PASS:	0	0	0	0	0111	0111
[1255000]		PASS:	0	0	0	0	0111	0111
[1265000]		PASS:	0	0	0	0	0111	0111
[1275000]		PASS:	0	0	0	0	0111	0111
[1285000]		PASS:	0	0	0	0	0111	0111
[1295000]		PASS:	0	0	0	0	0111	0111
[1305000]		PASS:	0	0	0	0	0111	0111
[1315000]		PASS:	0	0	0	0	0111	0111
[1325000]		PASS:	0	0	0	0	0111	0111
[1335000]		PASS:	0	0	0	0	0111	0111
